Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
40,KSC,Boeing X-37B,"4,990 kg",LEO,SES S.A.,"Success
",,Success,24 August 2017,18:51
41,VAFB,Iridium NEXT,"9,600 kg",Polar,KT Corporation,"Success
",,Controlled,7 September 2017,14:00
42,KSC,SES-11,"5,200 kg",GTO,NASA,Success,,Success,9 October 2017,12:37
43,KSC,Koreasat 5A,"3,500 kg",GTO,Iridium Communications,Success,,Controlled,11 October 2017,22:53:00
44,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,Northrop Grumman,Success,,No attempt,30 October 2017,19:34
45,VAFB,Iridium NEXT,"9,600 kg",Polar,SES,Success,,No attempt,15 December 2017,15:36
46,CCAFS,Zuma,C,LEO,Hisdesat,Success,,No attempt,23 December 2017,01:27
47,CCAFS,GovSat-1,"4,230 kg",GTO,Hispasat,Success,,No attempt,8 January 2018,01:00
48,VAFB,Paz,"2,150 kg",SSO,Iridium Communications,Success,,Success,31 January 2018,21:25
49,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,NASA,Success,,Success,22 February 2018,14:17
50,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,Success,,No attempt,6 March 2018,05:33
51,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,Thales-Alenia,Success,,No attempt,30 March 2018,14:14
52,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,Iridium Communications,Success,,No attempt,2 April 2018,20:30
53,KSC,Bangabandhu-1,"3,600 kg",GTO,SES,Success,,Success,18 April 2018,22:51
54,VAFB,Iridium NEXT,"6,460 kg",Polar,NASA,Success,,Success,11 May 2018,20:14
55,CCAFS,SES-12,"5,384 kg",GTO,Telesat,Success,,Success,22 May 2018,19:47
56,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,Iridium Communications,Success,,Success,4 June 2018,04:45
57,CCAFS,Telstar 19V,"7,075 kg",GTO,Telkom Indonesia,Success,,Success,29 June 2018,09:42
58,VAFB,Iridium NEXT,"9,600 kg",Polar,Telesat,Success,,Success,22 July 2018,05:50
59,CCAFS,Merah Putih,"5,800 kg",GTO,CONAE,Success,,Success,25 July 2018,11:39
60,CCAFS,Telstar 18V,"7,060 kg",GTO,Es'hailSat,Success,,Failure,7 August 2018,05:18
61,VAFB,SAOCOM 1A,"3,000 kg",SSO,Spaceflight Industries,"Success
",,No attempt,10 September 2018,04:45
62,KSC,Es'hail 2,"5,300 kg",GTO,NASA,Success,,Success,8 October 2018,02:22
63,VAFB,SSO-A,"~4,000 kg",SSO,USAF,"Success
",,Success,15 November 2018,20:46
64,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,Iridium Communications,"Success
",,Success,3 December 2018,18:34:05
65,CCAFS,GPS III,"4,400 kg",MEO,PSN,"Success
",,Success,5 December 2018,18:16
66,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,"Success
",,Success,23 December 2018,13:51
67,CCAFS,Nusantara Satu,"4,850 kg",GTO,NASA,"Success
",,Success,11 January 2019,15:31
68,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,SpaceX,"Success
",,Success,22 February 2019,01:45
69,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,Canadian Space Agency,"Success
",,No attempt,2 March 2019,07:49
70,CCAFS,Starlink,"13,620 kg",LEO,NASA,"Success
",,Success,4 May 2019,06:48
71,VAFB,RADARSAT Constellation,"4,200 kg",SSO,Spacecom,"Success
",,Success,24 May 2019,02:30
72,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,SpaceX,"Success
",,Success,12 June 2019,14:17
73,CCAFS,AMOS-17,"6,500 kg",GTO,NASA,"Success
",,Success,25 July 2019,22:01
74,CCAFS,Starlink,"15,600 kg",LEO,Sky Perfect JSAT,"Success
",,"No attempt
",6 August 2019,23:23
75,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,SpaceX,"Success
",,Success,11 November 2019,14:56
76,CCAFS,JCSat-18,"6,956 kg",GTO,NASA,"Success
",,Failure,5 December 2019,17:29
77,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,17 December 2019,00:10
78,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,SpaceX,"Success
",,Failure,7 January 2020,02:19:21
79,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",,Success,19 January 2020,15:30
80,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,29 January 2020,14:07
81,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,SpaceX,"Success
",,Success,17 February 2020,15:05
82,KSC,Starlink,"15,600 kg",LEO,NASA,"Success
",,Success,7 March 2020,04:50
83,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,18 March 2020,12:16
84,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,SpaceX,"Success
",,Success,22 April 2020,19:30
85,CCAFS,Starlink,"15,600 kg",LEO,U.S. Space Force,"Success
",,Success,30 May 2020,19:22
86,CCAFS,Starlink,"15,410 kg",LEO,Republic of Korea Army,"Success
",,Success,4 June 2020,01:25
87,CCAFS,GPS III,"4,311 kg",MEO,SpaceX,"Success
",,Success,13 June 2020,09:21
88,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,SpaceX,"Success
",,Success,30 June 2020,20:10:46
89,KSC,Starlink,"14,932 kg",LEO,CONAE,"Success
",,Success,20 July 2020,21:30
90,CCAFS,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",,Success,7 August 2020,05:12
91,CCAFS,SAOCOM 1B,"3,130 kg",SSO,SpaceX,"Success
",,Success,18 August 2020,14:31
92,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,30 August 2020,23:18
93,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,3 September 2020,12:46:14
94,KSC,Starlink,"15,600 kg",LEO,USSF,"Success
",,Success,6 October 2020,11:29:34
95,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",,Success,18 October 2020,12:25:57
96,CCAFS,GPS III,"4,311 kg",MEO,NASA,"Success
",,Success,24 October 2020,15:31:34
97,KSC,Crew-1,"~12,500 kg",LEO,SpaceX,"Success
",,Success,5 November 2020,23:24:23
98,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",,Success,16 November 2020,00:27
99,CCAFS,Starlink,"15,600 kg",LEO,Sirius XM,"Success
",,Success,21 November 2020,17:17:08
100,KSC,SpaceX CRS-21,"2,972 kg",LEO,NRO,"Success
",,Success,25 November 2020,02:13
101,CCSFS,SXM-7,"7,000 kg",GTO,Türksat,"Success
",,Success,6 December 2020,16:17:08
102,KSC,NROL-108,C,LEO,SpaceX,"Success
",,Success,13 December 2020,17:30:00
103,CCSFS,Türksat 5A,"3,500 kg",GTO,,"Success
",,Failure,19 December 2020,14:00:00
104,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,8 January 2021,02:15
105,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,"Success
",,Success,20 January 2021,13:02
106,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,24 January 2021,15:00
107,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,4 February 2021,06:19
108,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,16 February 2021,03:59:37
109,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,4 March 2021,08:24
110,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,11 March 2021,08:13:29
111,CCSFS,Starlink,"15,600 kg",LEO,NASA,"Success
",,Success,14 March 2021,10:01
112,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,24 March 2021,08:28
113,KSC,Crew-2,"~13,000 kg",LEO,SpaceX,"Success
",,Success,7 April 2021,16:34
114,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,23 April 2021,9:49
115,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,29 April 2021,03:44
116,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,4 May 2021,19:01
117,KSC,Starlink,"~14,000 kg",LEO,NASA,"Success
",,,9 May 2021,06:42
118,CCSFS,Starlink,"15,600 kg",LEO,Sirius XM,,,,15 May 2021,22:56
119,KSC,SpaceX CRS-22,"3,328 kg",LEO,,,,,26 May 2021,18:59
120,CCSFS,SXM-8,"7,000 kg",GTO,,,,,3 June 2021,17:29
121,,,,,,,,,6 June 2021,04:26
